"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
remote_survey_intro_lang_v7a_calc,remote_survey_introduction,,text,"Language for 7a (1=English, 2=Spanish, 3=both)",,,,,,,,,,,,," @IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '1' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '', @DEFAULT= '1',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '1', @DEFAULT= '2',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '1' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '1', @DEFAULT= '3',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '1' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '', @DEFAULT= '1',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '1', @DEFAULT= '2',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '1' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '1', @DEFAULT= '3',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '' AND
    [v07a_arm_1][remote_survey_intro_mlds_en_v3_calc] = '1' AND
    [v07a_arm_1][remote_survey_intro_mlds_es_v3_calc] = '',@DEFAULT= '1',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '' AND
    [v07a_arm_1][remote_survey_intro_mlds_en_v3_calc] = '' AND
    [v07a_arm_1][remote_survey_intro_mlds_es_v3_calc] = '1',@DEFAULT= '2',

@IF([v07a_arm_1][remote_survey_intro_mlds_en_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v6_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_en_v4_calc] = '' AND [v07a_arm_1][remote_survey_intro_mlds_es_v4_calc] = '' AND
    [v07a_arm_1][remote_survey_intro_mlds_en_v3_calc] = '1' AND
    [v07a_arm_1][remote_survey_intro_mlds_es_v3_calc] = '1',@DEFAULT= '3',

@READONLY)))))))))
@HIDDEN"
child_introduction_v4,child_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">This first set of surveys will ask you all about your child, how they are growing, and the new things they are learning.  There are no right or wrong answers.  We want to learn about your child from you!  Some surveys will be short, and others will be longer.  You can take breaks as needed.  There are 8 surveys in this section and all together they will take about an hour to complete.</span></p></div>",,,,,,,"[event-name] = 'v04_arm_1'",,,,,,
child_introduction_v5,child_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">This first set of surveys will ask you all about your child, how they are growing, and the new things they are learning. There are no right or wrong answers. We want to learn about your child from you! Some surveys will be short and others will be longer. You can take breaks as needed. There are</span> <span style=""font-weight: normal;"">11 surveys in this section and all together they will take a little over an hour</span><span style=""font-weight: normal;""> to complete.</span></p></div>",,,,,,,"[event-name] = 'v05_arm_1'",,,,,,
child_introduction_v6,child_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">This first set of surveys will ask you all about your child, how they are growing, and the new things they are learning. There are no right or wrong answers. We want to learn about your child from you! Some surveys will be short and others will be longer. You can take breaks as needed. There are 8</span> <span style=""font-weight: normal;"">surveys in this section and all together they will take</span> <span style=""font-weight: normal;"">about an hour to complete.</span></p></div>",,,,,,,"[event-name] = 'v06_arm_1'",,,,,,
child_introduction_v7,child_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">This first set of surveys will ask you all about your child, how they are growing, and the new things they are learning. There are no right or wrong answers. We want to learn about your child from you! Some surveys will be short, and others will be longer. You can take breaks as needed. There are 11 surveys in this section and all together they will take a little </span><span style=""font-weight: normal;""><span style=""font-weight: normal;"">a little over an hour</span> </span><span style=""font-weight: normal;"">to complete.</span></p></div>",,,,,,,"[event-name] = 'v07_arm_1'",,,,,,
parent_introduction_v4,parent_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for completing questions about your child! That was the longest section of the surveys. Next, we'd like to ask some questions about you. These questions will ask about your health, your thoughts and feelings, support and stress, and your use of medications and substances. As a reminder, your responses are confidential. There are 4 surveys in this section and all together they will take about 20-30 minutes.</span></p></div>",,,,,,,"[event-name] = 'v04_arm_1'",,,,,,
parent_introduction_v5,parent_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for completing questions about your child! That was the longest section of the surveys. Next we'd like to ask some questions about you. These questions will ask about your health, your thoughts and feelings, support and stress, and your use of medications and substances. As a reminder, your responses are confidential. There are 7 surveys in this section and all together they will take about 20-30 minutes.</span></p></div>",,,,,,,"[event-name] = 'v05_arm_1'",,,,,,
parent_introduction_v6,parent_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for completing questions about your child! That was the longest section of the surveys. Next we'd like to ask some questions about you. These questions will ask about your health, your thoughts and feelings, support and stress, and your use of medications and substances. As a reminder, your responses are confidential. There are 4 surveys in this section and all together they will take about 20-30 minutes.</span></p></div>",,,,,,,"[event-name] = 'v06_arm_1'",,,,,,
parent_introduction_v7,parent_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for completing questions about your child! That was the longest section of the surveys. Next we'd like to ask some questions about you. These questions will ask about your health, your thoughts and feelings, support and stress, and your use of medications and substances. As a reminder, your responses are confidential. There are 6 surveys in this section and all together they will take about 20-30 minutes.</span></p></div>",,,,,,,"[event-name] = 'v07_arm_1'",,,,,,
family_introduction,family_surveys_introduction,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for completing those surveys! This final set of surveys is the shortest and will ask about your family and your home. These questions will give us a bigger picture of your child's day-to-day life and can help us understand their development. There are just 3 surveys and all together they will take about 10 minutes.</span></p></div>",,,,,,,,,,,,,
sensitive_q_introduction,sensitive_question_introduction,,descriptive,"Next, we ask sensitive questions about stressful or traumatic experiences you or your child may have had. We understand that answering some of these questions may make you feel uneasy. We also understand that many families experience stressful life events. Over time these experiences may affect your child's health and wellbeing. If your answers suggest your child has experienced a high number of stressful events, a member from our team may reach out to you to discuss your child's health and wellbeing.

We are sharing information with all participants about resources related to violence or trauma. Please also talk with a member of our team if you need more help.",,,,,,,,,,,,,
pex_bm_apa_lang,pex_bm_apa,,radio,Language,"en, English|es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
pex_bm_apa_dtt,pex_bm_apa,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
pex_bm_apa_timestamp_start,pex_bm_apa,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
pex_bm_apa_location,pex_bm_apa,,dropdown,"Remote or on-site?","1, Remote|2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
pex_bm_apa1_depr_001,pex_bm_apa,"The questions below ask about things that might have bothered you. For each question, circle the number that best describes how much (or how often) you have been bothered by each problem during the past TWO (2) WEEKS.

During the past TWO (2) WEEKS, how much (or how often) have you been bothered by the following problems?",radio,"Little interest or pleasure in doing things?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_depr_002,pex_bm_apa,,radio,"Feeling down, depressed or hopeless","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_anger_001,pex_bm_apa,,radio,"Feeling more irritated, grouchy or angry than usual?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_mania_001,pex_bm_apa,,radio,"Sleeping less then usual, but still have a lot of energy?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_mania_002,pex_bm_apa,,radio,"Starting lots more projects than usual or doing more risky things than usual?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_anx_001,pex_bm_apa,,radio,"Feeling nervous, anxious, frightened, worried, or on edge?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_anx_002,pex_bm_apa,,radio,"Feeling panic or being frightened?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_anx_003,pex_bm_apa,,radio,"Avoiding situations that make you anxious?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_somat_001,pex_bm_apa,,radio,"Unexplained aches and pains (e.g., head, back, joints, abdomen, legs)?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_somat_002,pex_bm_apa,,radio,"Feeling that your illnesses are not being taken seriously enough?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_suic_001,pex_bm_apa,,radio,"Thoughts of actually hurting yourself?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_psych_001,pex_bm_apa,,radio,"Hearing things other people couldn't hear, such as voices even when no one was around?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_psych_002,pex_bm_apa,,radio,"Feeling that someone could hear your thoughts, or that you could hear what another person was thinking?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_sleep_001,pex_bm_apa,,radio,"Problems with sleep that affected your sleep quality over all?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_memo_001,pex_bm_apa,,radio,"Problems with memory (e.g., learning new information) or with location (e.g., finding your way home)?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_repet_001,pex_bm_apa,,radio,"Unpleasant thoughts, urges, or images that repeatedly enter your mind?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_repet_002,pex_bm_apa,,radio,"Feeling driven to perform certain behaviors or mental acts over and over again?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_disso_001,pex_bm_apa,,radio,"Feeling detached or distant from yourself, your body, your physical surroundings, or your memories?","0, None-Not at all|1, Slight-Rare, less than a day or two|2, Mild-Several Days|3, Moderate-More than half the days|4, Severe-Nearly every day|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa1_m01,,
pex_bm_apa1_flag01,pex_bm_apa,,calc,"APA - Flag 1: Endorsed thoughts of harming themselves.","if(([pex_bm_apa1_suic_001] > 0 AND [pex_bm_apa1_suic_001] < 777), 1, 0)",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_001,pex_bm_apa,"In the past SEVEN (7) DAYS....",radio,"I felt worthless.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_002,pex_bm_apa,,radio,"I felt helpless.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_003,pex_bm_apa,,radio,"I felt depressed.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_004,pex_bm_apa,,radio,"I felt hopeless.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_005,pex_bm_apa,,radio,"I felt like a failure.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_006,pex_bm_apa,,radio,"I felt unhappy.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_007,pex_bm_apa,,radio,"I felt that I had nothing to look forward to.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_008,pex_bm_apa,,radio,"I felt that nothing could cheer me up.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_depr_m01,,
pex_bm_apa2_depr_001_i_01,pex_bm_apa,,calc,"Value of ""worthless""","if(([pex_bm_apa2_depr_001] = '777' OR [pex_bm_apa2_depr_001] = '999'), '', [pex_bm_apa2_depr_001])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_002_i_01,pex_bm_apa,,calc,"Value of ""helpless""","if(([pex_bm_apa2_depr_002] = '777' OR [pex_bm_apa2_depr_002] = '999'), '', [pex_bm_apa2_depr_002])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_003_i_01,pex_bm_apa,,calc,"Value of ""depressed""","if(([pex_bm_apa2_depr_003] = '777' OR [pex_bm_apa2_depr_003] = '999'), '', [pex_bm_apa2_depr_003])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_004_i_01,pex_bm_apa,,calc,"Value of ""hopeless""","if(([pex_bm_apa2_depr_004] = '777' OR [pex_bm_apa2_depr_004] = '999'), '', [pex_bm_apa2_depr_004])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_005_i_01,pex_bm_apa,,calc,"Value of ""failure""","if(([pex_bm_apa2_depr_005] = '777' OR [pex_bm_apa2_depr_005] = '999'), '', [pex_bm_apa2_depr_005])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_006_i_01,pex_bm_apa,,calc,"Value of ""unhappy""","if(([pex_bm_apa2_depr_006] = '777' OR [pex_bm_apa2_depr_006] = '999'), '', [pex_bm_apa2_depr_006])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_007_i_01,pex_bm_apa,,calc,"Value of ""look forward""","if(([pex_bm_apa2_depr_007] = '777' OR [pex_bm_apa2_depr_007] = '999'), '', [pex_bm_apa2_depr_007])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_008_i_01,pex_bm_apa,,calc,"Value of ""cheer""","if(([pex_bm_apa2_depr_008] = '777' OR [pex_bm_apa2_depr_008] = '999'), '', [pex_bm_apa2_depr_008])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_score,pex_bm_apa,,calc,"APA - Summary Score - Sum","sum([pex_bm_apa2_depr_001_i_01], [pex_bm_apa2_depr_002_i_01], [pex_bm_apa2_depr_003_i_01], [pex_bm_apa2_depr_004_i_01], [pex_bm_apa2_depr_005_i_01], [pex_bm_apa2_depr_006_i_01], [pex_bm_apa2_depr_007_i_01], [pex_bm_apa2_depr_008_i_01])",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_depr_flag01,pex_bm_apa,,calc,"APA - Flag 2: Endorsed depressive symptoms over threshold.","if([pex_bm_apa2_depr_score] >= 33, 1, 0)",,,,,,,y,,,,," @HIDDEN"
pex_bm_apa2_anx_001,pex_bm_apa,"In the past SEVEN (7) DAYS....",radio,"I felt fearful.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anx_002,pex_bm_apa,,radio,"I felt anxious.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anx_003,pex_bm_apa,,radio,"I felt worried.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anx_004,pex_bm_apa,,radio,"I found it hard to focus on anything other than my anxiety.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
