ID	ParentID	SchemaID	Name	LongName	Description
23	18	1	Nod-head	Action/Communicate/Communicate-gesturally/Nod-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.
24	18	1	Pump-fist	Action/Communicate/Communicate-gesturally/Pump-fist	Raise with fist clenched in triumph or affirmation.
25	18	1	Raise-eyebrows	Action/Communicate/Communicate-gesturally/Raise-eyebrows	Move eyebrows upward.
26	18	1	Shake-fist	Action/Communicate/Communicate-gesturally/Shake-fist	Clench hand into a fist and shake to demonstrate anger.
27	18	1	Shake-head	Action/Communicate/Communicate-gesturally/Shake-head	Turn head from side to side as a way of showing disagreement or refusal.
28	18	1	Shhh	Action/Communicate/Communicate-gesturally/Shhh	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.
29	18	1	Shrug	Action/Communicate/Communicate-gesturally/Shrug	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.
30	18	1	Smile	Action/Communicate/Communicate-gesturally/Smile	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.
31	18	1	Spread-hands	Action/Communicate/Communicate-gesturally/Spread-hands	Spread hands apart to indicate ignorance.
32	18	1	Thumbs-down	Action/Communicate/Communicate-gesturally/Thumbs-down	Extend the thumb downward to indicate disapproval.
33	18	1	Thumb-up	Action/Communicate/Communicate-gesturally/Thumb-up	Extend the thumb upward to indicate approval.
34	18	1	Wave	Action/Communicate/Communicate-gesturally/Wave	Raise hand and move left and right, as a greeting or sign of departure.
35	18	1	Widen-eyes	Action/Communicate/Communicate-gesturally/Widen-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.
36	18	1	Wink	Action/Communicate/Communicate-gesturally/Wink	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.
37	17	1	Communicate-musically	Action/Communicate/Communicate-musically	Communicate using music.
38	37	1	Hum	Action/Communicate/Communicate-musically/Hum	Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.
39	37	1	Play-instrument	Action/Communicate/Communicate-musically/Play-instrument	Make musical sounds using an instrument.
40	37	1	Sing	Action/Communicate/Communicate-musically/Sing	Produce musical tones by means of the voice.
41	37	1	Vocalize	Action/Communicate/Communicate-musically/Vocalize	Utter vocal sounds.
42	37	1	Whistle	Action/Communicate/Communicate-musically/Whistle	Produce a shrill clear sound by forcing breath out or air in through the puckered lips.
43	17	1	Communicate-vocally	Action/Communicate/Communicate-vocally	Communicate using mouth or vocal cords.
44	43	1	Cry	Action/Communicate/Communicate-vocally/Cry	Shed tears associated with emotions, usually sadness but also joy or frustration.
45	43	1	Groan	Action/Communicate/Communicate-vocally/Groan	Make a deep inarticulate sound in response to pain or despair.
46	43	1	Laugh	Action/Communicate/Communicate-vocally/Laugh	Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.
47	43	1	Scream	Action/Communicate/Communicate-vocally/Scream	Make loud, vociferous cries or yells to express pain, excitement, or fear.
48	43	1	Shout	Action/Communicate/Communicate-vocally/Shout	Say something very loudly.
49	43	1	Sigh	Action/Communicate/Communicate-vocally/Sigh	Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.
50	43	1	Speak	Action/Communicate/Communicate-vocally/Speak	Communicate using spoken language.
51	43	1	Whisper	Action/Communicate/Communicate-vocally/Whisper	Speak very softly using breath without vocal cords.
52	16	1	Move	Action/Move	Move in a specified direction or manner. Change position or posture.
53	52	1	Breathe	Action/Move/Breathe	Inhale or exhale during respiration.
54	53	1	Blow	Action/Move/Breathe/Blow	Expel air through pursed lips.
55	53	1	Cough	Action/Move/Breathe/Cough	Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.
56	53	1	Exhale	Action/Move/Breathe/Exhale	Blow out or expel breath.
57	53	1	Hiccup	Action/Move/Breathe/Hiccup	Involuntarily spasm  the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.
58	53	1	Hold-breath	Action/Move/Breathe/Hold-breath	Interrupt normal breathing by ceasing to inhale or exhale.
59	53	1	Inhale	Action/Move/Breathe/Inhale	Draw in with the breath through the nose or mouth.
60	53	1	Sneeze	Action/Move/Breathe/Sneeze	Suddenly and violently expel breath through the nose and mouth.
61	53	1	Sniff	Action/Move/Breathe/Sniff	Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.
62	52	1	Move-body	Action/Move/Move-body	Move entire body.
63	62	1	Bend	Action/Move/Move-body/Bend	Move body in a bowed or curved manner.
64	62	1	Dance	Action/Move/Move-body/Dance	Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.
65	62	1	Fall-down	Action/Move/Move-body/Fall-down	Lose balance and collapse.
66	62	1	Flex	Action/Move/Move-body/Flex	Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.
67	62	1	Jerk	Action/Move/Move-body/Jerk	Make a quick, sharp, sudden movement.
68	62	1	Lie-down	Action/Move/Move-body/Lie-down	Move to a horizontal or resting position.
69	62	1	Recover-balance	Action/Move/Move-body/Recover-balance	Return to a stable, upright body position.
70	62	1	Sit-down	Action/Move/Move-body/Sit-down	Move from a standing to a sitting position.
71	62	1	Sit-up	Action/Move/Move-body/Sit-up	Move from lying down to a sitting position.
72	62	1	Stand-up	Action/Move/Move-body/Stand-up	Move from a sitting to a standing position.
73	62	1	Stretch	Action/Move/Move-body/Stretch	Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.
74	62	1	Shudder	Action/Move/Move-body/Shudder	Tremble convulsively, sometimes as a result of fear or revulsion.
75	62	1	Stumble	Action/Move/Move-body/Stumble	Trip or momentarily lose balance and almost fall.
76	62	1	Turn	Action/Move/Move-body/Turn	Change or cause to change direction.
77	52	1	Move-body-part	Action/Move/Move-body-part	Move one part of a body.
78	77	1	Move-eyes	Action/Move/Move-body-part/Move-eyes	Move eyes.
79	78	1	Blink	Action/Move/Move-body-part/Move-eyes/Blink	Shut and open the eyes quickly.
80	78	1	Close-eyes	Action/Move/Move-body-part/Move-eyes/Close-eyes	Lower and keep eyelids in a closed position.
81	78	1	Fixate	Action/Move/Move-body-part/Move-eyes/Fixate	Direct eyes to a specific point or target.
82	78	1	Inhibit-blinks	Action/Move/Move-body-part/Move-eyes/Inhibit-blinks	Purposely prevent blinking.
83	78	1	Open-eyes	Action/Move/Move-body-part/Move-eyes/Open-eyes	Raise eyelids to expose pupil.
84	78	1	Saccade	Action/Move/Move-body-part/Move-eyes/Saccade	Move eyes rapidly between fixation points.
85	78	1	Squint	Action/Move/Move-body-part/Move-eyes/Squint	Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.
86	78	1	Stare	Action/Move/Move-body-part/Move-eyes/Stare	Look fixedly or vacantly at someone or something with eyes wide open.
87	77	1	Move-face	Action/Move/Move-body-part/Move-face	Move the face or jaw.
88	87	1	Bite	Action/Move/Move-body-part/Move-face/Bite	Seize with teeth or jaws an object or organism so as to grip or break the surface covering.
89	87	1	Burp	Action/Move/Move-body-part/Move-face/Burp	Noisily release air from the stomach through the mouth. Belch.
90	87	1	Chew	Action/Move/Move-body-part/Move-face/Chew	Repeatedly grinding, tearing, and or crushing with teeth or jaws.
91	87	1	Gurgle	Action/Move/Move-body-part/Move-face/Gurgle	Make a hollow bubbling sound like that made by water running out of a bottle.
92	87	1	Swallow	Action/Move/Move-body-part/Move-face/Swallow	Cause or allow something, especially food or drink to pass down the throat.
93	92	1	Gulp	Action/Move/Move-body-part/Move-face/Swallow/Gulp	Swallow quickly or in large mouthfuls, often audibly, sometimes to indicate apprehension.
94	87	1	Yawn	Action/Move/Move-body-part/Move-face/Yawn	Take a deep involuntary  inhalation with the mouth open often as a sign of drowsiness or boredom.
95	77	1	Move-head	Action/Move/Move-body-part/Move-head	Move head.
96	95	1	Lift-head	Action/Move/Move-body-part/Move-head/Lift-head	Tilt head back lifting chin.
97	95	1	Lower-head	Action/Move/Move-body-part/Move-head/Lower-head	Move head downward so that eyes are in a lower position.
98	95	1	Turn-head	Action/Move/Move-body-part/Move-head/Turn-head	Rotate head horizontally to look in a different direction.
99	77	1	Move-lower-extremity	Action/Move/Move-body-part/Move-lower-extremity	Move leg and/or foot.
100	99	1	Curl-toes	Action/Move/Move-body-part/Move-lower-extremity/Curl-toes	Bend toes sometimes to grip.
101	99	1	Hop	Action/Move/Move-body-part/Move-lower-extremity/Hop	Jump on one foot.
102	99	1	Jog	Action/Move/Move-body-part/Move-lower-extremity/Jog	Run at a trot to exercise.
103	99	1	Jump	Action/Move/Move-body-part/Move-lower-extremity/Jump	Move off the ground or other surface through sudden muscular effort in the legs.
104	99	1	Kick	Action/Move/Move-body-part/Move-lower-extremity/Kick	Strike out or flail with the foot or feet.  Strike using the leg, in unison usually with an area of the knee or lower using the foot.
105	99	1	Pedal	Action/Move/Move-body-part/Move-lower-extremity/Pedal	Move by working the pedals of a bicycle or other machine.
106	99	1	Press-foot	Action/Move/Move-body-part/Move-lower-extremity/Press-foot	Move by pressing foot.
107	99	1	Run	Action/Move/Move-body-part/Move-lower-extremity/Run	Travel on foot at a fast pace.
108	99	1	Step	Action/Move/Move-body-part/Move-lower-extremity/Step	Put one leg in front of the other and shift weight onto it.
109	108	1	Heel-strike	Action/Move/Move-body-part/Move-lower-extremity/Step/Heel-strike	Strike the ground with the heel during a step.
110	108	1	Toe-off	Action/Move/Move-body-part/Move-lower-extremity/Step/Toe-off	Push with toe as part of a stride.
111	99	1	Trot	Action/Move/Move-body-part/Move-lower-extremity/Trot	Run at a moderate pace, typically with short steps.
112	99	1	Walk	Action/Move/Move-body-part/Move-lower-extremity/Walk	Move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once.
113	77	1	Move-torso	Action/Move/Move-body-part/Move-torso	Move body trunk.
114	77	1	Move-upper-extremity	Action/Move/Move-body-part/Move-upper-extremity	Move arm, shoulder, and/or hand.
115	114	1	Drop	Action/Move/Move-body-part/Move-upper-extremity/Drop	Let or cause to fall vertically.
116	114	1	Grab	Action/Move/Move-body-part/Move-upper-extremity/Grab	Seize suddenly or quickly. Snatch or clutch.
117	114	1	Grasp	Action/Move/Move-body-part/Move-upper-extremity/Grasp	Seize and hold firmly.
118	114	1	Hold-down	Action/Move/Move-body-part/Move-upper-extremity/Hold-down	Prevent someone or something from moving by holding them firmly.
119	114	1	Lift	Action/Move/Move-body-part/Move-upper-extremity/Lift	Raising something to higher position.
120	114	1	Make-fist	Action/Move/Move-body-part/Move-upper-extremity/Make-fist	Close hand tightly with the fingers bent against the palm.
121	114	1	Point	Action/Move/Move-body-part/Move-upper-extremity/Point	Draw attention to something by extending a finger or arm.
122	114	1	Press	Action/Move/Move-body-part/Move-upper-extremity/Press	Apply pressure to something to flatten, shape, smooth or depress it. This action tag should be used to indicate key presses and mouse clicks.
123	114	1	Push	Action/Move/Move-body-part/Move-upper-extremity/Push	Apply force in order to move something away. Use Press to indicate a key press or mouse click.
124	114	1	Reach	Action/Move/Move-body-part/Move-upper-extremity/Reach	Stretch out your arm in order to get or touch something.
125	114	1	Release	Action/Move/Move-body-part/Move-upper-extremity/Release	Make available or set free.
126	114	1	Retract	Action/Move/Move-body-part/Move-upper-extremity/Retract	Draw or pull back.
127	114	1	Scratch	Action/Move/Move-body-part/Move-upper-extremity/Scratch	Drag claws or nails over a surface or on skin.
128	114	1	Snap-fingers	Action/Move/Move-body-part/Move-upper-extremity/Snap-fingers	Make a noise by pushing second finger hard against thumb and then releasing it suddenly so that it hits the base of the thumb.
129	114	1	Touch	Action/Move/Move-body-part/Move-upper-extremity/Touch	Come into or be in contact with.
130	16	1	Perceive	Action/Perceive	Produce an internal, conscious image through stimulating a sensory system.
131	130	1	Hear	Action/Perceive/Hear	Give attention to a sound.
132	130	1	See	Action/Perceive/See	Direct gaze toward someone or something or in a specified direction.
133	130	1	Smell	Action/Perceive/Smell	Inhale in order to ascertain an odor or scent.
134	130	1	Taste	Action/Perceive/Taste	Sense a flavor in the mouth and throat on contact with a substance.
135	130	1	Sense-by-touch	Action/Perceive/Sense-by-touch	Sense something through receptors in the skin.
136	16	1	Perform	Action/Perform	Carry out or accomplish an action, task, or function.
137	136	1	Close	Action/Perform/Close	Act as to blocked against entry or passage.
138	136	1	Collide-with	Action/Perform/Collide-with	Hit with force when moving.
139	136	1	Halt	Action/Perform/Halt	Bring or come to an abrupt stop.
140	136	1	Modify	Action/Perform/Modify	Change something.
141	136	1	Open	Action/Perform/Open	Widen an aperture, door, or gap, especially one allowing access to something.
142	136	1	Operate	Action/Perform/Operate	Control the functioning of a machine, process, or system.
143	136	1	Play	Action/Perform/Play	Engage in activity for enjoyment and recreation rather than a serious or practical purpose.
144	136	1	Read	Action/Perform/Read	Interpret something that is written or printed.
145	136	1	Repeat	Action/Perform/Repeat	Make do or perform again.
146	136	1	Rest	Action/Perform/Rest	Be inactive in order to regain strength, health, or energy.
147	136	1	Write	Action/Perform/Write	Communicate or express by means of letters or symbols written or imprinted on a surface.
148	16	1	Think	Action/Think	Direct the mind toward someone or something or use the mind actively to form connected ideas.
149	148	1	Allow	Action/Think/Allow	Allow access to something such as allowing a car to pass.
150	148	1	Attend-to	Action/Think/Attend-to	Focus mental experience on specific targets.
151	148	1	Count	Action/Think/Count	Tally items either silently or aloud.
152	148	1	Deny	Action/Think/Deny	Refuse to give or grant something requested or desired by someone.
153	148	1	Detect	Action/Think/Detect	Discover or identify the presence or existence of something.
154	148	1	Discriminate	Action/Think/Discriminate	Recognize a distinction.
155	148	1	Encode	Action/Think/Encode	Convert information or an instruction into a particular form.
156	148	1	Evade	Action/Think/Evade	Escape or avoid, especially by cleverness or trickery.
157	148	1	Generate	Action/Think/Generate	Cause something, especially an emotion or situation to arise or come about.
158	148	1	Identify	Action/Think/Identify	Establish or indicate who or what someone or something is.
159	148	1	Imagine	Action/Think/Imagine	Form a mental image or concept of something.
160	148	1	Judge	Action/Think/Judge	Evaluate evidence to make a decision or form a belief.
161	148	1	Learn	Action/Think/Learn	Adaptively change behavior as the result of experience.
162	148	1	Memorize	Action/Think/Memorize	Adaptively change behavior as the result of experience.
163	148	1	Plan	Action/Think/Plan	Think about the activities required to achieve a desired goal.
164	148	1	Predict	Action/Think/Predict	Say or estimate that something will happen or will be a consequence of something without having exact informaton.
165	148	1	Recognize	Action/Think/Recognize	Identify someone or something from having encountered them before.
166	148	1	Respond	Action/Think/Respond	React to something such as a treatment or a stimulus.
167	148	1	Recall	Action/Think/Recall	Remember information by mental effort.
168	148	1	Switch-attention	Action/Think/Switch-attention	Transfer attention from one focus to another.
169	148	1	Track	Action/Think/Track	Follow a person, animal, or object through space or time.
170	\N	1	Item	Item	An independently existing thing (living or nonliving).
171	170	1	Biological-item	Item/Biological-item	An entity that is biological, that is related to living organisms.
172	171	1	Anatomical-item	Item/Biological-item/Anatomical-item	A biological structure, system, fluid or other substance excluding single molecular entities.
173	172	1	Body	Item/Biological-item/Anatomical-item/Body	The biological structure representing an organism.
174	172	1	Body-part	Item/Biological-item/Anatomical-item/Body-part	Any part of an organism.
175	174	1	Head	Item/Biological-item/Anatomical-item/Body-part/Head	The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.
176	175	1	Hair	Item/Biological-item/Anatomical-item/Body-part/Head/Hair	The filamentous outgrowth of the epidermis.
177	175	1	Ear	Item/Biological-item/Anatomical-item/Body-part/Head/Ear	A sense organ needed for the detection of sound and for establishing balance.
178	175	1	Face	Item/Biological-item/Anatomical-item/Body-part/Head/Face	The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.
179	178	1	Cheek	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Cheek	The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.
180	178	1	Chin	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Chin	The part of the face below the lower lip and including the protruding part of the lower jaw.
181	178	1	Eye	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Eye	The organ of sight or vision.
182	178	1	Eyebrow	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Eyebrow	The arched strip of hair on the bony ridge above each eye socket.
183	178	1	Forehead	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Forehead	The part of the face between the eyebrows and the normal hairline.
184	178	1	Lip	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Lip	Fleshy fold which surrounds the opening of the mouth.
185	178	1	Nose	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Nose	A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.
186	178	1	Mouth	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Mouth	The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening.
187	178	1	Teeth	Item/Biological-item/Anatomical-item/Body-part/Head/Face/Teeth	The hard bonelike structures in the jaws. A collection of teeth arranged in some pattern in the mouth or other part of the body.
188	174	1	Lower-extremity	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity	Refers to the whole inferior limb (leg and/or foot).
189	188	1	Ankle	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Ankle	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.
190	188	1	Calf	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Calf	The fleshy part at the back of the leg below the knee.
191	188	1	Foot	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot	The structure found below the ankle joint required for locomotion.
192	191	1	Big-toe	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot/Big-toe	The largest toe on the inner side of the foot.
193	191	1	Heel	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot/Heel	The back of the foot below the ankle.
194	191	1	Instep	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot/Instep	The part of the foot between the ball and the heel on the inner side.
195	191	1	Little-toe	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot/Little-toe	The smallest toe located on the outer side of the foot.
196	191	1	Toes	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Foot/Toes	The terminal digits of the foot.
197	188	1	Knee	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Knee	A joint connecting the lower part of the femur with the upper part of the tibia.
198	188	1	Shin	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Shin	Front part of the leg below the knee.
199	188	1	Thigh	Item/Biological-item/Anatomical-item/Body-part/Lower-extremity/Thigh	Upper part of the leg between hip and knee.
200	174	1	Torso	Item/Biological-item/Anatomical-item/Body-part/Torso	The body excluding the head and neck and limbs.
201	200	1	Torso-back	Item/Biological-item/Anatomical-item/Body-part/Torso/Torso-back	The rear surface of the human body from the shoulders to the hips.
202	200	1	Buttocks	Item/Biological-item/Anatomical-item/Body-part/Torso/Buttocks	The round fleshy parts that form the lower rear area of a human trunk.
203	200	1	Torso-chest	Item/Biological-item/Anatomical-item/Body-part/Torso/Torso-chest	The anterior side of the thorax from the neck to the abdomen.
204	200	1	Gentalia	Item/Biological-item/Anatomical-item/Body-part/Torso/Gentalia	The external organs of reproduction.
205	200	1	Hip	Item/Biological-item/Anatomical-item/Body-part/Torso/Hip	The lateral prominence of the pelvis from the waist to the thigh.
206	200	1	Waist	Item/Biological-item/Anatomical-item/Body-part/Torso/Waist	The abdominal circumference at the navel.
207	174	1	Upper-extremity	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity	Refers to the whole superior limb (shoulder, arm, elbow, wrist, hand).
208	207	1	Elbow	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Elbow	A type of hinge joint located between the forearm and upper arm.
209	207	1	Forearm	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Forearm	Lower part of the arm between the elbow and wrist.
210	207	1	Hand	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand	The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.
211	210	1	Finger	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger	Any of the digits of the hand.
212	211	1	Index-finger	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger/Index-finger	The second finger from the radial side of the hand, next to the thumb.
213	211	1	Little-finger	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger/Little-finger	The fifth and smallest finger from the radial side of the hand.
214	211	1	Middle-finger	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger/Middle-finger	The middle or third finger from the radial side of the hand.
215	211	1	Ring-finger	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger/Ring-finger	The fourth finger from the radial side of the hand.
216	211	1	Thumb	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Finger/Thumb	The thick and short hand digit which is next to the index finger in humans.
217	210	1	Palm	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Palm	The part of the inner surface of the hand that extends from the wrist to the bases of the fingers.
218	210	1	Knuckles	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Hand/Knuckles	A part of a finger at a joint where the bone is near the surface, especially where the finger joins the hand.
219	207	1	Shoulder	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Shoulder	Joint attaching upper arm to trunk.
220	207	1	Upper-arm	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Upper-arm	Portion of arm between shoulder and elbow.
221	207	1	Wrist	Item/Biological-item/Anatomical-item/Body-part/Upper-extremity/Wrist	A joint between the distal end of the radius and the proximal row of carpal bones.
222	171	1	Organism	Item/Biological-item/Organism	A living entity, more specifically a biological entity that consists of one or more cells and is capable of genomic replication (independently or not).
223	222	1	Animal	Item/Biological-item/Organism/Animal	A living organism that has membranous cell walls, requires oxygen and organic foods, and is capable of voluntary movement.
224	222	1	Human	Item/Biological-item/Organism/Human	The bipedal primate mammal Homo sapiens.
225	222	1	Plant	Item/Biological-item/Organism/Plant	Any living organism that typically synthesizes its food from inorganic substances and possesses cellulose cell walls.
226	170	1	Language-item	Item/Language-item	An entity related to a systematic means of communicating by the use of sounds, symbols, or gestures.
227	226	1	Character	Item/Language-item/Character	A mark or symbol used in writing.
228	226	1	Clause	Item/Language-item/Clause	A  unit of grammatical organization next below the sentence in rank, usually consisting of a subject and predicate.
229	226	1	Glyph	Item/Language-item/Glyph	A hieroglyphic character, symbol, or pictograph.
230	226	1	Nonword	Item/Language-item/Nonword	A group of letters or speech sounds that looks or sounds like a word but that is not accepted as such by native speakers.
231	226	1	Paragraph	Item/Language-item/Paragraph	A distinct section of a piece of writing, usually dealing with a single theme.
232	226	1	Phoneme	Item/Language-item/Phoneme	A speech sound that is distinguished by the speakers of a particular language.
233	226	1	Phrase	Item/Language-item/Phrase	A phrase is a group of words functioning as a single unit in the syntax of a sentence.
234	226	1	Sentence	Item/Language-item/Sentence	A set of words that is complete in itself, conveying a statement, question, exclamation, or command and typically containing an explicit or implied subject and a predicate containing a finite verb.
235	226	1	Syllable	Item/Language-item/Syllable	A unit of spoken language larger than a phoneme.
236	226	1	Textblock	Item/Language-item/Textblock	A block of text.
237	226	1	Word	Item/Language-item/Word	A word is the smallest free form (an item that may be expressed in isolation with semantic or pragmatic content) in a language.
238	170	1	Object	Item/Object	Something perceptible by one or more of the senses, especially by vision or touch. A material thing.
239	238	1	Geometric-object	Item/Object/Geometric-object	An object or a representation that has structure and topology in space.
240	239	1	Pattern	Item/Object/Geometric-object/Pattern	An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning.
241	240	1	Dots	Item/Object/Geometric-object/Pattern/Dots	A small round mark or spot.
242	240	1	LED-pattern	Item/Object/Geometric-object/Pattern/LED-pattern	A pattern created by lighting selected members of a fixed light emitting diode array.
243	239	1	2D-shape	Item/Object/Geometric-object/2D-shape	A planar, two-dimensional shape.
244	243	1	Arrow	Item/Object/Geometric-object/2D-shape/Arrow	A shape with a pointed end indicating direction.
245	243	1	Clockface	Item/Object/Geometric-object/2D-shape/Clockface	The dial face of a clock. A location identifier based on clockface numbering or anatomic subregion.
246	243	1	Cross	Item/Object/Geometric-object/2D-shape/Cross	A figure or mark formed by two intersecting lines crossing at their midpoints.
247	243	1	Dash	Item/Object/Geometric-object/2D-shape/Dash	A horizontal stroke in writing or printing to mark a pause or break in sense or to represent omitted letters or words.
248	243	1	Ellipse	Item/Object/Geometric-object/2D-shape/Ellipse	A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it, especially a plane not parallel to the base.
249	248	1	Circle	Item/Object/Geometric-object/2D-shape/Ellipse/Circle	A ring-shaped structure with every point equidistant from the center.
250	243	1	Rectangle	Item/Object/Geometric-object/2D-shape/Rectangle	A parallelogram with four right angles.
251	250	1	Square	Item/Object/Geometric-object/2D-shape/Rectangle/Square	A square is a special rectangle with four equal sides.
252	243	1	Single-point	Item/Object/Geometric-object/2D-shape/Single-point	A point is a geometric entity that is located in a zero-dimensional spatial region and whose position is defined by its coordinates in some coordinate system.
253	243	1	Star	Item/Object/Geometric-object/2D-shape/Star	A conventional or stylized representation of a star, typically one having five or more points.
