ParameterTypeID	Name	Alias	Type	Description	RangeMin	RangeMax	SourceField	SourceFrom	SourceCondition	Queryable	IsFile
54	dicom_0x0028:el_0x0002	SamplesPerPixel	text	Number of samples (planes) in this image. DICOM:0028_0002	\N	\N	\N	parameter_file	\N	0	0
55	patient_name	PatientName	text	Set of identifiers used to determine to which candidate the scan belongs to. DICOM:0010_0010	\N	\N	\N	parameter_file	\N	0	0
56	dicom_0x0028:el_0x0004	PhotometricInterpretation	text	Specifies the intended interpretation of the pixel data. DICOM:0028_0004	\N	\N	\N	parameter_file	\N	0	0
57	max:version	\N	text	max:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
58	acquisition:start_time	PerformedProcedureStepStartTime	text	Time on which the Performed Procedure Step started. DICOM:0040_0245	\N	\N	\N	parameter_file	\N	0	0
59	number_of_phase_encoding_steps	PhaseEncodingSteps	text	Total number of lines in k-space in the "y" direction collected during acquisition. DICOM:0018_0089	\N	\N	\N	parameter_file	\N	0	0
60	dicom_0x0019:el_0x1017	\N	text	dicom_0x0019:el_0x1017 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
61	acquisition:repetition_time	\N	text	acquisition:repetition_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
62	percent_phase_field_of_view	PercentPhaseFOV	text	Ratio of field of view dimension in phase direction to field of view dimension in frequency direction, expressed as a percent. DICOM:0018_0094	\N	\N	\N	parameter_file	\N	0	0
63	study:field_value	ValueField	text	The field within a Data Element that contains the Value(s) of that Data Element. DICOM:0000_0060	\N	\N	\N	parameter_file	\N	0	0
64	acquisition:num_averages	\N	text	acquisition:num_averages magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
65	dicom_0x0020:varid	\N	text	dicom_0x0020:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
66	dicom_0x0051:el_0x0000	\N	text	dicom_0x0051:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
67	dicom_0x0023:vartype	\N	text	dicom_0x0023:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
68	largest_pixel_image_value	LargestPixelImageValue	text	The maximum actual pixel value encountered in this image. DICOM:0028_0107	\N	\N	\N	parameter_file	\N	0	0
69	dicom_0x0023:el_0x0000	\N	text	dicom_0x0023:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
70	:ident	\N	text	:ident magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
71	acquisition:scanning_sequence	\N	text	acquisition:scanning_sequence magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
72	software_versions	SoftwareVersions	text	Manufacturers designation of software version of the equipment that produced the composite instances. DICOM:0018_1020	\N	\N	\N	parameter_file	\N	0	0
73	spacing_between_slices	SpacingBetweenSlices	text	Spacing between slices, in mm, measured from center-to-center of each slice along the normal to the first image. The sign of the Spacing Between Slices (0018,0088) determines the direction of stacking. The normal is determined by the cross product of the direction cosines of the first row and first column of the first frame, such that a positive spacing indicates slices are stacked behind the first slice and a negative spacing indicates slices are stacked in front of the first slice. DICOM:0018_0088	\N	\N	\N	parameter_file	\N	0	0
74	transmitting_coil	TransmitCoilName	text	Name of transmit coil used. DICOM:0018_1251	\N	\N	\N	parameter_file	\N	0	0
75	acquisition:version	\N	text	acquisition:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
76	xspace:alignment	\N	text	xspace:alignment magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
77	dicom_0x0010:varid	\N	text	dicom_0x0010:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
78	acquisition:varid	\N	text	acquisition:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
79	dicominfo:window_min	\N	text	dicominfo:window_min magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
80	cols	Columns	text	Number of columns in the image. DICOM:0028_0011	\N	\N	\N	parameter_file	\N	0	0
81	dicom_0x0032:el_0x0000	\N	text	dicom_0x0032:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
82	image:varid	\N	text	image:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
83	yspace:version	\N	text	yspace:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
84	dicom_0x0018:el_0x0000	\N	text	dicom_0x0018:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
85	:minc_version	\N	text	:minc_version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
86	acquisition:pixel_bandwidth	\N	text	acquisition:pixel_bandwidth magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
87	xspace:start	\N	text	xspace:start magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
88	acquisition:protocol	\N	text	acquisition:protocol magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
89	dicom_0x0023:varid	\N	text	dicom_0x0023:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
90	number_of_averages	NumberOfAverages	text	Number of times a given pulse sequence is repeated before any parameter is changed. DICOM:0018_0083	\N	\N	\N	parameter_file	\N	0	0
91	dicom_0x0032:vartype	\N	text	dicom_0x0032:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
92	scanning_sequence	ScanningSequence	text	Description of the type of data taken. DICOM:0018_0020	\N	\N	\N	parameter_file	\N	0	0
93	ystart	\N	text	ystart magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
94	min:varid	\N	text	min:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
95	yspace:start	\N	text	yspace:start magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
96	zspace:spacing	\N	text	zspace:spacing magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
97	dicom_0x0018:varid	\N	text	dicom_0x0018:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
98	study:device_model	\N	text	study:device_model magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
99	xspace:spacetype	\N	text	xspace:spacetype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
100	pixel_representation	PixelRepresentation	text	Data representation of the pixel samples. Each sample shall have the same pixel representation. DICOM:0028_0103	\N	\N	\N	parameter_file	\N	0	0
101	acquisition:injection_time	\N	text	acquisition:injection_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
102	dicom_0x0021:el_0x0000	\N	text	dicom_0x0021:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
103	phase_encoding_direction	InPlanePhaseEncodingDirectionDICOM	text	The axes of the in-plane phase encoding with respect to the frame. DICOM:0018_1312	\N	\N	\N	parameter_file	\N	0	0
104	acquisition:dose_units	DoseUnits	text	Dose axis units. DICOM:3004_0002	\N	\N	\N	parameter_file	\N	0	0
105	manufacturer	Manufacturer	text	Manufacturer of the equipment that produced the composite instances. Corresponds to DICOM Tag 0008, 0070 Manufacturer	\N	\N	\N	parameter_file	\N	0	0
106	bits_allocated	BitsAllocated	text	Number of bits allocated for each pixel sample. Each sample shall have the same number of bits allocated. DICOM:0028_0100	\N	\N	\N	parameter_file	\N	0	0
107	dicom_0x0019:el_0x1016	\N	text	dicom_0x0019:el_0x1016 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
108	image:dimorder	\N	text	image:dimorder magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
109	acquisition:radionuclide_halflife	\N	text	acquisition:radionuclide_halflife magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
110	zspace:step	\N	text	zspace:step magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
111	imaged_nucleus	ImagedNucleus	text	Nucleus that is resonant at the imaging frequency. Examples: 31P, 1H. DICOM:0018_0085	\N	\N	\N	parameter_file	\N	0	0
112	acquisition:imaged_nucleus	\N	text	acquisition:imaged_nucleus magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
113	acquisition:echo_time	\N	text	acquisition:echo_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
114	image_position_patient	ImagePositionPatient	text	The x, y, and z coordinates of the upper left hand corner (center of the first voxel transmitted) of the image, in mm. DICOM:0020_0032	\N	\N	\N	parameter_file	\N	0	0
115	study:study_id	\N	text	study:study_id magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
116	zspace:comments	\N	text	zspace:comments magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
117	zspace:vartype	\N	text	zspace:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
118	study:modality	\N	text	study:modality magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
119	sequence_name	SequenceName	text	Any arbitrary name of a molecular sequence. DICOM:0018_0024	\N	\N	\N	parameter_file	\N	0	0
120	dicom_0x0021:varid	\N	text	dicom_0x0021:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
121	dicom_0x0019:el_0x1009	\N	text	dicom_0x0019:el_0x1009 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
122	dicom_0x0010:vartype	\N	text	dicom_0x0010:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
123	dicom_0x0008:el_0x1140	\N	text	dicom_0x0008:el_0x1140 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
124	series_number	SeriesNumber	text	A number that identifies this Series. DICOM:0020_0011	\N	\N	\N	parameter_file	\N	0	0
125	dicom_0x0020:el_0x1001	\N	text	dicom_0x0020:el_0x1001 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
126	dicom_0x0029:el_0x1160	\N	text	dicom_0x0029:el_0x1160 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
127	slice_location	SliceLocation	text	Relative position of the image plane expressed in mm. DICOM:0020_1041	\N	\N	\N	parameter_file	\N	0	0
128	dicom_0x0040:varid	\N	text	dicom_0x0040:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
129	window_center	WindowCenter	text	Preferred value for Window Center (0028,1050) in the image instances produced by this reconstruction protocol element. DICOM:0028_1050	\N	\N	\N	parameter_file	\N	0	0
130	echo_time	EchoTime	text	Time in ms between the middle of the excitation pulse and the peak of the echo produced (kx=0). In the case of segmented k-space, the TE(eff) is the time between the middle of the excitation pulse to the peak of the echo that is used to cover the center of k-space (i.e.,-kx=0, ky=0). DICOM:0018_0081	\N	\N	\N	parameter_file	\N	0	0
131	dicom_0x0018:el_0x0080	\N	text	dicom_0x0018:el_0x0080 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
132	yspace	\N	text	yspace magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
133	dicom_0x0051:el_0x100b	\N	text	dicom_0x0051:el_0x100b magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
134	dicom_0x0051:el_0x0010	\N	text	dicom_0x0051:el_0x0010 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
135	dicom_0x0028:el_0x0000	\N	text	dicom_0x0028:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
136	dicom_0x0008:vartype	\N	text	dicom_0x0008:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
137	dicom_0x0020:vartype	\N	text	dicom_0x0020:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
138	dicom_0x0019:el_0x1014	\N	text	dicom_0x0019:el_0x1014 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
139	dicom_0x0029:el_0x1008	\N	text	dicom_0x0029:el_0x1008 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
140	image:signtype	\N	text	image:signtype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
141	manufacturer_model_name	ManufacturersModelName	text	Manufacturer's model name of the equipment that produced the composite instances. Corresponds to DICOM Tag 0008, 1090 Manufacturers Model Name	\N	\N	\N	parameter_file	\N	0	0
142	xstart	\N	text	xstart magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
143	max:dimorder	\N	text	max:dimorder magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
144	dicom_0x0010:el_0x0000	\N	text	dicom_0x0010:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
145	dicom_0x0019:el_0x0010	\N	text	dicom_0x0019:el_0x0010 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
146	dicom_0x0051:el_0x100a	\N	text	dicom_0x0051:el_0x100a magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
147	dicominfo:image_type	ImageType	text	Image identification characteristics. DICOM:0008_0008	\N	\N	\N	parameter_file	\N	0	0
148	window_width	WindowWidth	text	Window Width for display. DICOM:0028_1051	\N	\N	\N	parameter_file	\N	0	0
149	zspace:version	\N	text	zspace:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
150	acquisition:transmit_coil	\N	text	acquisition:transmit_coil magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
151	xspace:length	\N	text	xspace:length magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
152	repetition_time	RepetitionTime	text	The period of time in msec between the beginning of a pulse sequence and the beginning of the succeeding (essentially identical) pulse sequence. Required except when Scanning Sequence (0018,0020) is EP and Sequence Variant (0018,0021) is not SK.	\N	\N	\N	parameter_file	\N	0	0
153	dicom_0x0051:el_0x100e	\N	text	dicom_0x0051:el_0x100e magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
154	acquisition:delay_in_TR	\N	text	acquisition:delay_in_TR magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
155	acquisition:injection_year	\N	text	acquisition:injection_year magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
156	acquisition:image_type	\N	text	acquisition:image_type magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
157	dicom_0x0020:el_0x0000	\N	text	dicom_0x0020:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
158	acquisition:injection_hour	\N	text	acquisition:injection_hour magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
159	acquisition:injection_day	\N	text	acquisition:injection_day magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
160	patient:position	\N	text	patient:position magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
161	image:complete	\N	text	image:complete magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
162	receiving_coil	ReceiveCoilName	text	Name of receive coil used. DICOM:0018_1250	\N	\N	\N	parameter_file	\N	0	0
163	image:valid_range	\N	text	image:valid_range magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
164	dicom_0x0051:el_0x100f	\N	text	dicom_0x0051:el_0x100f magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
165	sar	SAR	text	Calculated whole body Specific Absorption Rate in watts/kilogram. DICOM:0018_1316	\N	\N	\N	parameter_file	\N	0	0
166	zspace:spacetype	\N	text	zspace:spacetype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
167	dicom_0x0028:varid	\N	text	dicom_0x0028:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
168	dicom_0x0023:el_0x0008	\N	text	dicom_0x0023:el_0x0008 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
169	yspace:comments	\N	text	yspace:comments magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
170	min:dimorder	\N	text	min:dimorder magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
171	dicom_0x0029:el_0x0011	\N	text	dicom_0x0029:el_0x0011 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
172	dicom_0x0051:el_0x100c	\N	text	dicom_0x0051:el_0x100c magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
173	dicom_groups:vartype	\N	text	dicom_groups:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
174	dicom_0x0021:el_0x1120	\N	text	dicom_0x0021:el_0x1120 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
175	dicom_0x0008:el_0x0016	\N	text	dicom_0x0008:el_0x0016 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
176	acquisition:phase_enc_dir	\N	text	acquisition:phase_enc_dir magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
177	patient_position	PatientPosition	text	Description of imaging subject's position relative to the equipment. DICOM:0018_5100	\N	\N	\N	parameter_file	\N	0	0
178	xspace:comments	\N	text	xspace:comments magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
179	zspace:alignment	\N	text	zspace:alignment magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
180	window_center_width_explanation	WindowCenterWidthExplanation	text	Explanation of the Window Center and Width. DICOM:0028_1055	\N	\N	\N	parameter_file	\N	0	0
181	dicom_0x0019:el_0x0000	\N	text	dicom_0x0019:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
182	dicom_0x0008:el_0x0005	\N	text	dicom_0x0008:el_0x0005 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
183	dicom_0x0019:el_0x1013	\N	text	dicom_0x0019:el_0x1013 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
184	tarchiveMD5	\N	text	tarchiveMD5 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
185	zstart	\N	text	zstart magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
186	acquisition:mr_acq_type	\N	text	acquisition:mr_acq_type magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
187	max:varid	\N	text	max:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
188	dicom_0x0029:el_0x0000	\N	text	dicom_0x0029:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
189	acquisition:percent_phase_fov	\N	text	acquisition:percent_phase_fov magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
190	xspace:direction_cosines	\N	text	xspace:direction_cosines magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
191	high_bit	HighBit	text	Most significant bit for pixel sample data. Each sample shall have the same high bit. DICOM:0028_0102	\N	\N	\N	parameter_file	\N	0	0
192	dicom_0x0019:el_0x100f	\N	text	dicom_0x0019:el_0x100f magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
193	acquisition:window_center	\N	text	acquisition:window_center magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
194	acquisition:num_dyn_scans	\N	text	acquisition:num_dyn_scans magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
195	dicominfo:window_max	\N	text	dicominfo:window_max magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
196	dicom_0x0051:el_0x1009	\N	text	dicom_0x0051:el_0x1009 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
197	dicom_0x0051:el_0x100d	\N	text	dicom_0x0051:el_0x100d magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
198	acquisition:injection_seconds	\N	text	acquisition:injection_seconds magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
199	acquisition:injection_minute	\N	text	acquisition:injection_minute magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
200	dicom_0x0029:el_0x1019	\N	text	dicom_0x0029:el_0x1019 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
201	acquisition:slice_thickness	\N	text	acquisition:slice_thickness magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
202	rows	Rows	text	Number of rows in the image. DICOM:0028_0010	\N	\N	\N	parameter_file	\N	0	0
203	dicom_0x0018:el_0x1318	\N	text	dicom_0x0018:el_0x1318 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
204	acquisition_number	AcquisitionNumber	text	A number identifying the single continuous gathering of data over a period of time that resulted in this image or instance, which may include multiple bed positions. This number is not required to be unique across SOP Instances in a series. DICOM:0020_0012	\N	\N	\N	parameter_file	\N	0	0
205	dicom_0x0029:vartype	\N	text	dicom_0x0029:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
206	acquisition:vartype	\N	text	acquisition:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
207	echo_numbers	EchoNumber	text	The echo number used in generating this image. In the case of segmented k-space, it is the effective Echo Number. DICOM:0018_0086	\N	\N	\N	parameter_file	\N	0	0
208	zspace:start	\N	text	zspace:start magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
