PhysiologicalParameterFileID	PhysiologicalFileID	ProjectID	ParameterTypeID	InsertTime	Value
43	2	1	1141	2019-08-21 15:10:06	0
44	2	1	1142	2019-08-21 15:10:06	Brock University
45	2	1	1143	2019-08-21 15:10:06	522c9a8d6903fe9b5d1db96bbd748eb7a1ea5f84ec31cb62606f2b3a757d8b14849a509afaa9c7f3d7c3ac615e346290603f50813bb815896e3d9be4b9737db6
46	2	1	1144	2019-08-21 15:10:06	128
47	2	1	1145	2019-08-21 15:10:06	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
48	2	1	1146	2019-08-21 15:10:06	n/a
49	2	1	1147	2019-08-21 15:10:06	0
50	2	1	1148	2019-08-21 15:10:07	7dec63570f3317310369c1edf3b5b9906f865885973f65cc82c8d89b5a01b5ea233bc43d645a06604b0938215d79188eaa2d6862000d405c90cbe2fce39fb803
51	2	1	1149	2019-08-21 15:10:07	2c9eb4aeb13f3621d25fdc5476b3fcae9540b253b2de5c6225c3d61ab8dff22d36c8f8e4019cf2791fbe68a27829bc8004bc1a35269f12b081f57c7e0c973037
52	2	1	1150	2019-08-21 15:10:07	8ce219b918b1e25eb081edef424b435c12af4b6b875c794794384b207f7be561625a510b2c0d83f7083edff2b70565dd3dff56d3e42fee4851e54f088c1e489f
53	3	1	1125	2019-08-21 15:10:13	CMS
54	3	1	1126	2019-08-21 15:10:13	512
55	3	1	1127	2019-08-21 15:10:13	0
56	3	1	1128	2019-08-21 15:10:13	n/a
57	3	1	1129	2019-08-21 15:10:13	1258
58	3	1	1130	2019-08-21 15:10:13	ElectroCap International
59	3	1	1131	2019-08-21 15:10:13	7125936ea5ce108a6a713723c83bce883afad7211f56c0661bd9e681de1de83067092a468a9c04076c80e1aa3aa92c7ab2b2d2edea898efc49a24455e51ebd6e
60	3	1	1132	2019-08-21 15:10:13	60
61	3	1	1133	2019-08-21 15:10:13	FaceHouseCheck
62	3	1	1134	2019-08-21 15:10:13	BioSemi
63	3	1	1135	2019-08-21 15:10:13	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
64	3	1	1136	2019-08-21 15:10:13	500 Glenridge Ave, St.Catharines, Ontario
65	3	1	1137	2019-08-21 15:10:13	continuous
66	3	1	1138	2019-08-21 15:10:13	7
67	3	1	1139	2019-08-21 15:10:13	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT174/ses-V1/eeg/sub-OTT174_ses-V1_task-faceO_eeg.json
68	3	1	1140	2019-08-21 15:10:13	0
69	3	1	1141	2019-08-21 15:10:13	0
70	3	1	1142	2019-08-21 15:10:13	Brock University
71	3	1	1143	2019-08-21 15:10:13	ded56136666b2a95dcc0dfdb1a6df71c834a0c52b8fc27657390ee82cbf93bd5b6345aa95b6c3216f13e32ab1b45a58dd9b3d5461f72eec62b6055b505fb7832
72	3	1	1144	2019-08-21 15:10:13	128
73	3	1	1145	2019-08-21 15:10:13	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
74	3	1	1146	2019-08-21 15:10:13	n/a
75	3	1	1147	2019-08-21 15:10:13	0
76	3	1	1148	2019-08-21 15:10:14	007d72d6fcd4dfc48cb48c33fa1df5fe05320bc3af55427f4878337994bc7bc4703d528940c5176c7144bfce726b11b07b69fdf406f99ab6f305c6a5545e1abf
77	3	1	1149	2019-08-21 15:10:14	3319ac2e55cb83e1f1d2d9108f9888712dd49fdefed9f8aecb2b21b6a3146ab1d2f9681eb89c443650e243f43e695ae7d97b7cad3b0a4c74beaffb1d775f29af
78	3	1	1150	2019-08-21 15:10:14	1e4d79f0f3674cc25e14081b532e56cf2930a6bf601ebf4a7751e77b1a7e58c8fd20115d9948792e86ee12a3ccc92909184d766231dea8fc32820378de8e63b7
79	4	1	1125	2019-08-21 15:10:21	CMS
80	4	1	1126	2019-08-21 15:10:21	512
81	4	1	1127	2019-08-21 15:10:21	0
82	4	1	1128	2019-08-21 15:10:21	n/a
83	4	1	1129	2019-08-21 15:10:21	1228
84	4	1	1130	2019-08-21 15:10:21	ElectroCap International
85	4	1	1131	2019-08-21 15:10:21	da34d101e27e65fe70907faddd6057f13091563717142285f8559d6150b4b6d09f7378b3d1b7d19721fd7f00f9c612a8f0b56e2420f69409a40c4c0e160c051e
86	4	1	1132	2019-08-21 15:10:21	60
87	4	1	1133	2019-08-21 15:10:21	FaceHouseCheck
88	4	1	1134	2019-08-21 15:10:21	BioSemi
89	4	1	1135	2019-08-21 15:10:21	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
90	4	1	1136	2019-08-21 15:10:22	500 Glenridge Ave, St.Catharines, Ontario
91	4	1	1137	2019-08-21 15:10:22	continuous
92	4	1	1138	2019-08-21 15:10:22	7
93	4	1	1139	2019-08-21 15:10:22	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT176/ses-V1/eeg/sub-OTT176_ses-V1_task-faceO_eeg.json
94	4	1	1140	2019-08-21 15:10:22	0
95	4	1	1141	2019-08-21 15:10:22	0
96	4	1	1142	2019-08-21 15:10:22	Brock University
97	4	1	1143	2019-08-21 15:10:22	886b7febd466ceb5e1afdde0d164489bf4bf1b846646c7eb3d1f676406db736cb4ee455a00596b9614f435c775ba3dfb013a98034790dc1e063800e32db03734
98	4	1	1144	2019-08-21 15:10:22	128
99	4	1	1145	2019-08-21 15:10:22	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
100	4	1	1146	2019-08-21 15:10:22	n/a
101	4	1	1147	2019-08-21 15:10:22	0
102	4	1	1148	2019-08-21 15:10:22	b9a5959d63f65ead8252cccc761e60ec1e863a43f8c729d3532eee3f603124d354b1a317066a58a963ac704cb7f4ac88408bd7a4c49b2df2ff1fed966a1206ac
103	4	1	1149	2019-08-21 15:10:22	ed16c613ffa143f09f4b671281c0395fda8f6ca60409718edd61857b34f1d77b43c71ec62345fce429d0f4eb39cdbb47a173b9f4b9a4fc06cd61976e7a6f9f34
104	4	1	1150	2019-08-21 15:10:22	d44f121f9e98c8b5261d8f51ddacbcac78a7ac3a49d97ed8b62fede03cb8a5eefda32cccb9edbd8c279443d7da9ffa834780c93d54a55f1b5af28d64f7f3c89b
105	5	1	1125	2019-08-21 15:10:36	CMS
106	5	1	1126	2019-08-21 15:10:36	512
107	5	1	1127	2019-08-21 15:10:36	0
108	5	1	1128	2019-08-21 15:10:36	n/a
109	5	1	1129	2019-08-21 15:10:36	1281
110	5	1	1130	2019-08-21 15:10:36	ElectroCap International
111	5	1	1131	2019-08-21 15:10:36	1c3df898a03a6158346e67afb18ba061c667acc59cf2f0ae3c102aa682871b302119463936c183826585e898161535a485e14d73f6b42c7a8e37b84d535a4b4e
112	5	1	1132	2019-08-21 15:10:36	60
113	5	1	1133	2019-08-21 15:10:36	FaceHouseCheck
114	5	1	1134	2019-08-21 15:10:36	BioSemi
115	5	1	1135	2019-08-21 15:10:36	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
116	5	1	1136	2019-08-21 15:10:36	500 Glenridge Ave, St.Catharines, Ontario
117	5	1	1137	2019-08-21 15:10:36	continuous
118	5	1	1138	2019-08-21 15:10:36	7
119	5	1	1139	2019-08-21 15:10:36	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT175/ses-V1/eeg/sub-OTT175_ses-V1_task-faceO_eeg.json
120	5	1	1140	2019-08-21 15:10:36	0
121	5	1	1141	2019-08-21 15:10:36	0
122	5	1	1142	2019-08-21 15:10:36	Brock University
123	5	1	1143	2019-08-21 15:10:36	cefdaddbac7893fac22188c387c1aad6b7c8da65576a1a4f2751275dc587fae99d0d71d8e14568291f4f2f5796a25cd867d54bcc5d0f5aeb6562076855a6216e
124	5	1	1144	2019-08-21 15:10:36	128
125	5	1	1145	2019-08-21 15:10:36	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
126	5	1	1146	2019-08-21 15:10:36	n/a
127	5	1	1147	2019-08-21 15:10:36	0
128	5	1	1148	2019-08-21 15:10:36	80ab6924ad077f75194b50335476d5ae6e6b3d09fa65a642d36430a2cc9794cc94ee0f5fb59ea81bf4d354b69e029c8c23d4f88feeb64fcb6f17905034c9be5a
129	5	1	1149	2019-08-21 15:10:37	87f14648e22d900ac3a6b94f84426851f71a2c9ee6d8f1cff8ab102dd39e2745364d918f14ba668ef3e98264bed138400cd76a81915ba74c217715414ac0938b
130	5	1	1150	2019-08-21 15:10:37	82a3ee75bc1b869e9ef8b73902b9a85dd50544c4f0831f24562dc8ff81581e9db7d2a1aea9203547dcc4c4d0f2cd6a38270feb9a9c60ad228727ca3f23021afd
131	6	1	1125	2019-08-21 15:10:43	CMS
132	6	1	1126	2019-08-21 15:10:43	512
133	6	1	1127	2019-08-21 15:10:43	0
134	6	1	1128	2019-08-21 15:10:43	n/a
135	6	1	1129	2019-08-21 15:10:43	1203
136	6	1	1130	2019-08-21 15:10:43	ElectroCap International
137	6	1	1131	2019-08-21 15:10:43	00272234d49547185a9a71f6ec198bd818a5f5862f06f351b14c84048e192ee1bf9519bd69dafc372e42f1a6b19cb2f39750ce2ecd006ea625787b86bf9745b8
138	6	1	1132	2019-08-21 15:10:43	60
139	6	1	1133	2019-08-21 15:10:43	FaceHouseCheck
140	6	1	1134	2019-08-21 15:10:43	BioSemi
141	6	1	1135	2019-08-21 15:10:43	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
142	6	1	1136	2019-08-21 15:10:43	500 Glenridge Ave, St.Catharines, Ontario
143	6	1	1137	2019-08-21 15:10:43	continuous
144	6	1	1138	2019-08-21 15:10:43	7
145	6	1	1139	2019-08-21 15:10:43	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT172/ses-V1/eeg/sub-OTT172_ses-V1_task-faceO_eeg.json
146	6	1	1140	2019-08-21 15:10:43	0
147	6	1	1141	2019-08-21 15:10:43	0
148	6	1	1142	2019-08-21 15:10:43	Brock University
149	6	1	1143	2019-08-21 15:10:43	81858c914dc284f44976396a09a0fd71077fa2c557780e66f306b34f456efb60782e7a4a9c2545f14c7d4fe4f1f7d3e39526ef060574f6a5124fe6d230268e1a
150	6	1	1144	2019-08-21 15:10:43	128
151	6	1	1145	2019-08-21 15:10:43	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
152	6	1	1146	2019-08-21 15:10:43	n/a
153	6	1	1147	2019-08-21 15:10:43	0
154	6	1	1148	2019-08-21 15:10:43	2673322e5b7cf9e0aaa05b82c00ee07df2bc376a8b5df6330a111bfd9aaa7c8f4173bde9fe61f3ec3f8db815b73f0510fb5ab7c1569662993020aa7811bf7d83
155	6	1	1149	2019-08-21 15:10:44	7462abe592b1e34b5a5d461e85310079bd8baa98962dc2270bbbb4b1188c52fb35d5841f5966844e141f3b2991144f3a1688d69938f49bd085a91e35b4c33cd9
156	6	1	1150	2019-08-21 15:10:44	8ece00084de7e56981af10260cc1e6e68673077fd4c9b27cc0f36bcee5656826957fc3ea5e7d97886f6f94f264b69dda6e3caa557446fb207c792c9d636cf81c
157	7	1	1125	2019-08-21 15:10:49	CMS
158	7	1	1126	2019-08-21 15:10:49	512
159	7	1	1127	2019-08-21 15:10:49	0
160	7	1	1128	2019-08-21 15:10:49	n/a
161	7	1	1129	2019-08-21 15:10:49	1216
162	7	1	1130	2019-08-21 15:10:49	ElectroCap International
163	7	1	1131	2019-08-21 15:10:49	cb8874a9edc488aa889ca3e1cd2bf05106a34b8544926ca39d6b90828ef77d1f2c8ccf2fa194c402c31fde5e708da63de1285fecc80d1772e68e8b1cf08b5267
164	7	1	1132	2019-08-21 15:10:49	60
165	7	1	1133	2019-08-21 15:10:49	FaceHouseCheck
166	7	1	1134	2019-08-21 15:10:49	BioSemi
167	7	1	1135	2019-08-21 15:10:49	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
168	7	1	1136	2019-08-21 15:10:49	500 Glenridge Ave, St.Catharines, Ontario
169	7	1	1137	2019-08-21 15:10:49	continuous
170	7	1	1138	2019-08-21 15:10:49	7
171	7	1	1139	2019-08-21 15:10:49	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT170/ses-V1/eeg/sub-OTT170_ses-V1_task-faceO_eeg.json
172	7	1	1140	2019-08-21 15:10:49	0
173	7	1	1141	2019-08-21 15:10:49	0
174	7	1	1142	2019-08-21 15:10:49	Brock University
175	7	1	1143	2019-08-21 15:10:49	f1e0ba8bd8c3971185e36d8a25e5890ace466fa8b0b1c10eec007b64b74df022ce48fb2692a6d02615a056f9b2bc09cdb64d4f7d38e8fac2a662307f35a4c5c5
176	7	1	1144	2019-08-21 15:10:49	128
177	7	1	1145	2019-08-21 15:10:49	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
178	7	1	1146	2019-08-21 15:10:49	n/a
179	7	1	1147	2019-08-21 15:10:49	0
180	7	1	1148	2019-08-21 15:10:50	73036db67b7294973db2208fb4f15231d6d724151eb4ac0fb7ea78fa855c00b33476575aac56ab965b26808aacd99b62bbb6d92005cb25ca5239cec11e6c3b01
181	7	1	1149	2019-08-21 15:10:50	ff8a72a46345de83617cef8f2b4fbed94be51d218bc59054ad52eeee98eac30858fa5a9693617be541ef68c07286623366fbbfaa6dc9ce1cefac52f2841a62d1
182	7	1	1150	2019-08-21 15:10:50	5e37b0c9dec121e9716a98145377ef2f2a8bf46049555fec5973e97cd43eb433489f60559d8a023c26f68442da11d29bfa631ad97eb1d162cab565cafc294b71
183	8	1	1125	2019-08-21 15:10:57	CMS
184	8	1	1126	2019-08-21 15:10:57	512
185	8	1	1127	2019-08-21 15:10:57	0
186	8	1	1128	2019-08-21 15:10:57	n/a
187	8	1	1129	2019-08-21 15:10:57	1233
188	8	1	1130	2019-08-21 15:10:57	ElectroCap International
189	8	1	1131	2019-08-21 15:10:57	685d5257d7911f5144456cd48704c2d14740257e59933247523761e1da93bec34d1872f02c6b5dd8cd8e28653567e91690349f371a35da33ce4a33a1d10bc52b
190	8	1	1132	2019-08-21 15:10:57	60
191	8	1	1133	2019-08-21 15:10:57	FaceHouseCheck
192	8	1	1134	2019-08-21 15:10:57	BioSemi
193	8	1	1135	2019-08-21 15:10:57	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
194	8	1	1136	2019-08-21 15:10:57	500 Glenridge Ave, St.Catharines, Ontario
195	8	1	1137	2019-08-21 15:10:57	continuous
196	8	1	1138	2019-08-21 15:10:57	7
197	8	1	1139	2019-08-21 15:10:57	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT173/ses-V1/eeg/sub-OTT173_ses-V1_task-faceO_eeg.json
198	8	1	1140	2019-08-21 15:10:57	0
199	8	1	1141	2019-08-21 15:10:57	0
200	8	1	1142	2019-08-21 15:10:57	Brock University
201	8	1	1143	2019-08-21 15:10:57	f76fc6aa7cc7d3d20f5bee92f7dd505bbaa6f0c31a9ef8ccb4c88a534e5afb00085c89ab1ca11c5820ca6966dc9c28438e5b617dd3476f1b706514031d1ccfe5
202	8	1	1144	2019-08-21 15:10:57	128
203	8	1	1145	2019-08-21 15:10:57	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
204	8	1	1146	2019-08-21 15:10:57	n/a
205	8	1	1147	2019-08-21 15:10:57	0
206	8	1	1148	2019-08-21 15:10:59	b8d1ef8f5fab63b6f9cdfaf74ca95955063959fa69acc1f5515a776867eab781f0b514b1255edf872ca1692b289766dc6cb2ba9df836403c1ca9e95960c60944
207	8	1	1149	2019-08-21 15:10:59	f7061166629a0423a56e3a8486f7bdf8f9ca9e4fdf9ee197071182a7162cabd6dc950ac5a97a431c4ed5b5dc5416928cc49dfefac33662cf11db4d49ddf9f82a
208	8	1	1150	2019-08-21 15:10:59	94d2595cc60c049f93cf21153a12b1381dd8c36f616dee551ff8d4043b529ec23b0492371d1b724e147431a47a31f6c2172b39194db54a762668b0c4e9de858b
209	9	1	1125	2019-08-21 15:11:14	CMS
210	9	1	1126	2019-08-21 15:11:14	512
211	9	1	1127	2019-08-21 15:11:14	0
212	9	1	1128	2019-08-21 15:11:14	n/a
213	9	1	1129	2019-08-21 15:11:14	1201
214	9	1	1130	2019-08-21 15:11:14	ElectroCap International
215	9	1	1131	2019-08-21 15:11:14	f1f5e6220e4e77464b02989ebb290c6b0d57a34acc7f1553efaf40e44bf48043b1a228e31b693e8abfd9543c1e4bb388e7d1e9b0bf6b138497cbbf7c03ee9d23
216	9	1	1132	2019-08-21 15:11:14	60
217	9	1	1133	2019-08-21 15:11:14	FaceHouseCheck
218	9	1	1134	2019-08-21 15:11:14	BioSemi
219	9	1	1135	2019-08-21 15:11:14	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
220	9	1	1136	2019-08-21 15:11:14	500 Glenridge Ave, St.Catharines, Ontario
221	9	1	1137	2019-08-21 15:11:14	continuous
222	9	1	1138	2019-08-21 15:11:14	7
223	9	1	1139	2019-08-21 15:11:14	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT171/ses-V1/eeg/sub-OTT171_ses-V1_task-faceO_eeg.json
224	9	1	1140	2019-08-21 15:11:14	0
225	9	1	1141	2019-08-21 15:11:14	0
226	9	1	1142	2019-08-21 15:11:14	Brock University
227	9	1	1143	2019-08-21 15:11:14	8ec2362732ebeb4385f15913e8044bc8d756acc81558e8b792567c52d5f90f464423ae2d8c48e87f4844b5690b42cff30b129f8a38d654d27b0494817a4e55da
228	9	1	1144	2019-08-21 15:11:14	128
229	9	1	1145	2019-08-21 15:11:14	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
230	9	1	1146	2019-08-21 15:11:14	n/a
231	9	1	1147	2019-08-21 15:11:14	0
232	9	1	1148	2019-08-21 15:11:15	061c800e4d06c21199fa821f13e06f99d286756b65b1bed12758c0c3ef336062970c7b30ea46134791effe74f4e36d7c5417462a16342f8f6451cf77a4c4717d
233	9	1	1149	2019-08-21 15:11:15	d5b2db89243ec9e40b47f5d3b0c5fb6532cb2936985f558191bcfd2ee8aa8204ef356da9c8dcecfe92ab8781cfd1c4faf152f3e6f9971582b6de237cf910ea31
234	9	1	1150	2019-08-21 15:11:15	71e8ff8c7c0b79838a2387cd5292dca64213f66f75b8e6643dad787c48094c83939306a5f6d57a41430b25e8ed44336be3f2ee22ededc1dcae9e1e1d6a3a3571
235	10	1	1125	2019-08-21 15:11:21	CMS
236	10	1	1126	2019-08-21 15:11:21	512
237	10	1	1127	2019-08-21 15:11:21	0
238	10	1	1128	2019-08-21 15:11:21	n/a
239	10	1	1129	2019-08-21 15:11:21	1119
240	10	1	1130	2019-08-21 15:11:21	ElectroCap International
241	10	1	1131	2019-08-21 15:11:21	bbe78787d0bd4267a1ffe228fc3577d5d558055e46c9c3f6ddc3f1413cae69808bfc05d02be0556291c741d68d9ff76efcb8e6724fd796d7e1f397ea13a3279e
242	10	1	1132	2019-08-21 15:11:21	60
243	10	1	1133	2019-08-21 15:11:21	FaceHouseCheck
244	10	1	1134	2019-08-21 15:11:21	BioSemi
245	10	1	1135	2019-08-21 15:11:21	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
246	10	1	1136	2019-08-21 15:11:21	500 Glenridge Ave, St.Catharines, Ontario
247	10	1	1137	2019-08-21 15:11:21	continuous
248	10	1	1138	2019-08-21 15:11:21	7
249	10	1	1139	2019-08-21 15:11:21	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT166/ses-V1/eeg/sub-OTT166_ses-V1_task-faceO_eeg.json
250	10	1	1140	2019-08-21 15:11:21	0
251	10	1	1141	2019-08-21 15:11:21	0
252	10	1	1142	2019-08-21 15:11:21	Brock University
253	10	1	1143	2019-08-21 15:11:21	f99d109db4872b98ac9cf2e7c3d515c137c105563358cbc396ab8cf39609743fd43f6bdcfcfd9add5f7c31747a7e1aeb89f1e47931f7b62ab115ce1d610cb8b3
254	10	1	1144	2019-08-21 15:11:21	128
255	10	1	1145	2019-08-21 15:11:21	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
256	10	1	1146	2019-08-21 15:11:21	n/a
257	10	1	1147	2019-08-21 15:11:21	0
258	10	1	1148	2019-08-21 15:11:22	53870df80067539e8329f02c688cb881ca333a52e1c8eb650ab5b6f083e50a90c18ddf048945d3f227daa2baa1723fa267b454ba8d9c04065979fbab7a219738
259	10	1	1149	2019-08-21 15:11:22	62950466593dddb41b31cd4904871cddd672655750ea3f593181092ed509546f8495d81ab34f716add22daffdcb6a4d2842367f5dffb4f6c1363ece1cd2b0e75
260	10	1	1150	2019-08-21 15:11:22	417e38d863e0ca71953754c0a76ee808d6c77d289d6e1e8df504889b5eb1907e439d9be28938d69d655000dd8ffee4822c93555e72a56b1abfe38984a1737408
261	1	1	1151	2021-03-23 12:50:21	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT167_ses-V1_task-faceO_eeg.chunks
262	2	1	1151	2021-03-23 12:50:39	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT168_ses-V1_task-faceO_eeg.chunks
263	3	1	1151	2021-03-23 12:50:54	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT174_ses-V1_task-faceO_eeg.chunks
264	4	1	1151	2021-03-23 12:51:11	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT176_ses-V1_task-faceO_eeg.chunks
265	5	1	1151	2021-03-23 12:51:29	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT175_ses-V1_task-faceO_eeg.chunks
266	6	1	1151	2021-03-23 12:51:55	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT172_ses-V1_task-faceO_eeg.chunks
267	7	1	1151	2021-03-23 12:52:12	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT170_ses-V1_task-faceO_eeg.chunks
268	8	1	1151	2021-03-23 12:52:27	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT173_ses-V1_task-faceO_eeg.chunks
269	9	1	1151	2021-03-23 12:52:49	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT171_ses-V1_task-faceO_eeg.chunks
270	10	1	1151	2021-03-23 12:53:19	bids_imports/Face13_BIDSVersion_1.1.0_chunks/sub-OTT166_ses-V1_task-faceO_eeg.chunks
